,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category
119,Williamsburg,40.70714439344255,-73.95811529220936,4c9bd1140313370443af4fd5,Checkers,40.708838446156705,-73.9586453139782,Burger Joint
120,Williamsburg,40.70714439344255,-73.95811529220936,4d98bfa2af3d236a82c143c7,AFC Grilled Chicken,40.70864260196686,-73.95842671394348,Burger Joint
121,Williamsburg,40.70714439344255,-73.95811529220936,4d33b71c2c76a1434f2f7ec7,Zamaan Hookah Bar and Lounge,40.70784742277971,-73.95581189700223,Hookah Bar
122,Bushwick,40.69811611017905,-73.92525797487053,53d8078c498ec85537d3df4a,Alphaville,40.700655570348815,-73.92571111977058,Bar
123,Bushwick,40.69811611017905,-73.92525797487053,534d916e498e45d9c44e6d0a,The Wheelhouse,40.69999698442769,-73.92440070116781,Sandwich Place
124,Bushwick,40.69811611017905,-73.92525797487053,4db9e32e0cb65435c5202dd4,OMG Pizza,40.69815120337451,-73.92545194772751,Pizza Place
125,Bushwick,40.69811611017905,-73.92525797487053,4c0aaa11340720a13cda8693,Royal Chicken,40.696119,-73.92040037999999,Fast Food Restaurant
126,Bushwick,40.69811611017905,-73.92525797487053,4f9c021ae4b0d2a3a901a018,Terry's Cafe & Grill,40.69572657117028,-73.92974543425365,Diner
127,Bedford Stuyvesant,40.6872316077205,-73.94178488690305,4b9ec1b5f964a5205dff36e3,Peaches HotHouse,40.68333096983621,-73.94385322214498,Fried Chicken Joint
128,Bedford Stuyvesant,40.6872316077205,-73.94178488690305,4dd29002c65b9d071f9ee4ae,Crown Fried Chicken,40.688130155740794,-73.94478278685823,Fried Chicken Joint
129,Brooklyn Heights,40.695863722724134,-73.99378225496432,464c2546f964a520b4461fe3,Five Guys,40.69464577757514,-73.99381926824576,Burger Joint
130,Brooklyn Heights,40.695863722724134,-73.99378225496432,5720f0d3498e1984b627e7d7,B.GOOD,40.69469669607069,-73.99380026153258,Fast Food Restaurant
131,Brooklyn Heights,40.695863722724134,-73.99378225496432,49f3261bf964a520696a1fe3,Clark's Restaurant,40.69753293863099,-73.9930435186682,Diner
132,Brooklyn Heights,40.695863722724134,-73.99378225496432,4471bf9af964a5209c331fe3,Jack the Horse Tavern,40.699939665968046,-73.99363890600424,American Restaurant
133,Brooklyn Heights,40.695863722724134,-73.99378225496432,3fd66200f964a52057ee1ee3,Heights Cafe,40.69520082413794,-73.99589275866926,American Restaurant
134,Brooklyn Heights,40.695863722724134,-73.99378225496432,4a12b724f964a52090771fe3,Park Plaza Diner,40.69779079038551,-73.9916819489333,Diner
135,Brooklyn Heights,40.695863722724134,-73.99378225496432,40788a80f964a5206ef21ee3,Henry Street Ale House,40.699251,-73.992284,Pub
136,Brooklyn Heights,40.695863722724134,-73.99378225496432,4f121fd07bebcec5ad0e87fe,NYC Sliders,40.69760810861431,-73.9944863319397,Burger Joint
137,Brooklyn Heights,40.695863722724134,-73.99378225496432,5c119dac829b0c002c9799b8,Grand Canyon Restaurant,40.694745,-73.993589,Burger Joint
138,Brooklyn Heights,40.695863722724134,-73.99378225496432,4e851ede8231a2bbfef10e1f,Bevacco,40.69934693656375,-73.99213688652104,Italian Restaurant
139,Brooklyn Heights,40.695863722724134,-73.99378225496432,43655e80f964a52062291fe3,Teresa's Restaurant,40.695238876311734,-73.9960558355363,Eastern European Restaurant
140,Brooklyn Heights,40.695863722724134,-73.99378225496432,49c16439f964a520a4551fe3,O'Keefe's Bar & Grill,40.69206199124401,-73.99118453406872,Bar
141,Cobble Hill,40.68791972248561,-73.99856139218471,4e98cba6b8f77b7a98e870d6,Moo Burger,40.68584457538074,-73.99422868325722,Burger Joint
142,Cobble Hill,40.68791972248561,-73.99856139218471,4ab6d694f964a520407920e3,Henry Public,40.69041286465585,-73.99641156481655,Gastropub
143,Cobble Hill,40.68791972248561,-73.99856139218471,52487385498e8d3af50faac2,The Long Island Bar,40.690642796181855,-73.99631850047321,Cocktail Bar
144,Cobble Hill,40.68791972248561,-73.99856139218471,4cbf097828d176b0a7c6226e,Colonie,40.69073324250775,-73.99596314123242,American Restaurant
145,Cobble Hill,40.68791972248561,-73.99856139218471,51ddd36f498ea2ad70eb9129,Vekslers,40.68534457902491,-74.00068713289978,Bar
146,Cobble Hill,40.68791972248561,-73.99856139218471,4a065aecf964a520ef721fe3,Watty & Meg,40.68556214714406,-73.99442741145906,American Restaurant
147,Cobble Hill,40.68791972248561,-73.99856139218471,5692966d498ea35a37251d26,Mex Carroll's Diner,40.685510319269106,-74.00250985465031,Diner
148,Cobble Hill,40.68791972248561,-73.99856139218471,4aecd620f964a520a7cb21e3,Jake's Bar B Que,40.68559684997948,-74.00240936363565,BBQ Joint
149,Carroll Gardens,40.682131885641844,-74.00037274122077,4e09bb7dfa767637fd396326,Bar Bruno,40.68351749855508,-73.9998304896896,Bar
150,Carroll Gardens,40.682131885641844,-74.00037274122077,51ddd36f498ea2ad70eb9129,Vekslers,40.68534457902491,-74.00068713289978,Bar
151,Carroll Gardens,40.682131885641844,-74.00037274122077,4f615c02e4b015728758e99e,Jalopy Tavern,40.68135444334983,-74.00461728614081,Bar
152,Carroll Gardens,40.682131885641844,-74.00037274122077,58d933702f91cb026f478e38,East One Coffee Roasters,40.681128035266816,-73.99652634325895,Coffee Shop
153,Carroll Gardens,40.682131885641844,-74.00037274122077,43cd1428f964a520cf2d1fe3,Abilene,40.67885737510263,-73.9976157385781,Lounge
154,Carroll Gardens,40.682131885641844,-74.00037274122077,5692966d498ea35a37251d26,Mex Carroll's Diner,40.685510319269106,-74.00250985465031,Diner
155,Carroll Gardens,40.682131885641844,-74.00037274122077,5adba8f4c0cacb3e62f55a45,Madcap Cafe,40.68015460233981,-73.99696175291047,Café
156,Carroll Gardens,40.682131885641844,-74.00037274122077,4a564295f964a520dfb41fe3,Cobble Hill Coffee Shop,40.683433578031774,-73.99542632829885,Diner
