,count,venue,venue category,venue lat,venue lon
342,12,Jimbos,Burger Joint,40.813734176977135,-73.9561037819707
343,2,Quick Bite,Burger Joint,40.817320155468714,-73.95361913407694
344,0,Island Burgers and Shakes,Burger Joint,40.81414349115753,-73.95938202951623
345,23,McDonald's,Fast Food Restaurant,40.815940692650095,-73.95890951156615
346,57,The Edge Harlem,American Restaurant,40.819691575695686,-73.94607292237941
347,22,Jimbo's Hamburger Palace,Burger Joint,40.81522423017631,-73.94000920888253
348,1,halal truck at harlem hospital (Palomino Halal Food Truck),Burger Joint,40.81429,-73.940855
349,1,Texas Chicken & Burgers,Burger Joint,40.813192108764895,-73.94179701805116
350,21,McDonald's,Fast Food Restaurant,40.81793616004489,-73.94133964425923
351,14,Smashiess,Sandwich Place,40.790268078798725,-73.94730036307469
352,7,Harlem Shake,Burger Joint,40.793836597366536,-73.93999542541836
353,16,Pee Dee Steak House,Steakhouse,40.79425972112027,-73.94275415185164
354,8,McDonald's,Burger Joint,40.789984000000004,-73.946077
355,83,Ricardo Steak House,Steakhouse,40.79343473959523,-73.94047119574417
356,4,Burger King,Fast Food Restaurant,40.79052514655719,-73.94575461745262
357,1,Fresh Burger,Burger Joint,40.79266257537088,-73.95003158743592
358,0,Burger Shack,Burger Joint,40.796000516314585,-73.94104233826727
359,10,Texas Chicken and Burgers,Fast Food Restaurant,40.787779,-73.944594
360,22,Burger One,Burger Joint,40.77522981691669,-73.9586854420627
361,72,Eats,Burger Joint,40.77232374284225,-73.96081599097909
362,42,Luke's Bar & Grill,American Restaurant,40.77450325305382,-73.95722215905452
363,79,Lexington Candy Shop Luncheonette,Diner,40.77763643640682,-73.95703015852048
364,43,Dylan Murphy's,Burger Joint,40.77638543373941,-73.95576686149955
365,16,Wrap-N-Run Grill,Restaurant,40.774487176213405,-73.95928673467535
366,29,Nectar,Diner,40.778317712525094,-73.96071279788916
367,17,The New Amity Restaurant,Diner,40.77980470462351,-73.95966389381256
368,0,Oysters Burgers & Martinis,Burger Joint,40.772347778553964,-73.96077469950781
369,27,Lenox Hill Grill,Diner,40.773846015778474,-73.95971890374575
370,18,PJ Bernstein Deli Restaurant,Deli / Bodega,40.77361531285603,-73.96082997322087
371,43,Mad River Bar & Grille,Pub,40.776075279077475,-73.95598284452117
372,41,Bareburger,Burger Joint,40.77776399957451,-73.94903864903888
373,62,Mansion Restaurant,Diner,40.7759621,-73.9467767
374,65,The Supply House,Bar,40.7775779,-73.952268
375,172,Cafe D'Alsace,French Restaurant,40.779152203715846,-73.95106941461562
376,111,Bondurants,Bar,40.777118650756385,-73.95204331058143
377,24,Ethyl's Alcohol & Food,Bar,40.77699064154686,-73.95237618153155
378,56,Genesis Bar & Restaurant,Sports Bar,40.77954840119824,-73.95051207314302
379,77,Rathbone's,Sports Bar,40.779347123598974,-73.95069270894403
380,88,Gracie Mews Diner,Diner,40.773536883508285,-73.9517811929898
381,95,Five Mile Stone,Bar,40.77724623519559,-73.95218284225119
382,68,Dorrian's Red Hand,Bar,40.77647497186799,-73.9525851447182
383,47,East End Bar & Grill,Sports Bar,40.777404900942024,-73.94893499330323
384,1,Mocha Burger Express,Burger Joint,40.776146999999995,-73.952964
385,20,Gracie's Corner Diner,Diner,40.77777548513098,-73.9518106818528
