,Venue,Venue Category,Venue ID,Venue Latitude,Venue Longitude,gender,id
698,Grill On The Hill,40.82217710484206,540a5685498e696147312201,-73.9499439013087,Bar,male,7193173
699,Jimbos145,40.82594828298323,4b8963c6f964a5208c3132e3,-73.94854488859387,Breakfast Spot,female,7757107
700,Toast 125,40.81486,3fd66200f964a52067e81ee3,-73.9594,Burger Joint,male,454971735
701,Toast 125,40.81486,3fd66200f964a52067e81ee3,-73.9594,Burger Joint,male,815406
702,Toast 125,40.81486,3fd66200f964a52067e81ee3,-73.9594,Burger Joint,none,11945
703,Dinosaur Bar-B-Que,40.81814687379685,41b24f80f964a520661e1fe3,-73.9606735523417,BBQ Joint,female,97738262
704,Dinosaur Bar-B-Que,40.81814687379685,41b24f80f964a520661e1fe3,-73.9606735523417,BBQ Joint,male,61069
705,Jimbos,40.813734176977135,4c224b61fbe5c9b6eaa79921,-73.9561037819707,Burger Joint,male,394656707
706,Jimbos,40.813734176977135,4c224b61fbe5c9b6eaa79921,-73.9561037819707,Burger Joint,male,146448308
707,Quick Bite,40.817320155468714,4f662556e4b03be104a5e5d9,-73.95361913407694,Burger Joint,male,41048836
708,Island Burgers and Shakes,40.81414349115753,5683209a498ec2f0d23e46df,-73.95938202951623,Burger Joint,male,18146783
709,Island Burgers and Shakes,40.81414349115753,5683209a498ec2f0d23e46df,-73.95938202951623,Burger Joint,male,69151284
710,McDonald's,40.815940692650095,4ae376f2f964a520719521e3,-73.95890951156615,Fast Food Restaurant,male,116050359
711,McDonald's,40.815940692650095,4ae376f2f964a520719521e3,-73.95890951156615,Fast Food Restaurant,male,477860635
712,McDonald's,40.815940692650095,4ae376f2f964a520719521e3,-73.95890951156615,Fast Food Restaurant,male,38765730
713,The Edge Harlem,40.819691575695686,541c683e498ef421d4e16eb3,-73.94607292237941,American Restaurant,female,29275806
714,The Edge Harlem,40.819691575695686,541c683e498ef421d4e16eb3,-73.94607292237941,American Restaurant,none,518760275
715,Jimbo's Hamburger Palace,40.81522423017631,4ba2273ff964a520a4df37e3,-73.94000920888253,Burger Joint,female,4848235
716,Jimbo's Hamburger Palace,40.81522423017631,4ba2273ff964a520a4df37e3,-73.94000920888253,Burger Joint,female,68191221
717,Jimbo's Hamburger Palace,40.81522423017631,4ba2273ff964a520a4df37e3,-73.94000920888253,Burger Joint,none,522910824
718,halal truck at harlem hospital (Palomino Halal Food Truck),40.81429,51f0a211498e19f157c2f6cc,-73.940855,Burger Joint,female,26796427
719,halal truck at harlem hospital (Palomino Halal Food Truck),40.81429,51f0a211498e19f157c2f6cc,-73.940855,Burger Joint,male,6512354
720,Texas Chicken & Burgers,40.813192108764895,4df54f64fa76abc3d873315e,-73.94179701805116,Burger Joint,male,54948162
721,Texas Chicken & Burgers,40.813192108764895,4df54f64fa76abc3d873315e,-73.94179701805116,Burger Joint,none,30904230
722,McDonald's,40.81793616004489,4be3987d21d5a59341b31911,-73.94133964425923,Fast Food Restaurant,female,107671658
723,McDonald's,40.81793616004489,4be3987d21d5a59341b31911,-73.94133964425923,Fast Food Restaurant,male,59633147
724,Smashiess,40.790268078798725,4b80fc8df964a520489430e3,-73.94730036307469,Sandwich Place,female,44133574
725,Smashiess,40.790268078798725,4b80fc8df964a520489430e3,-73.94730036307469,Sandwich Place,male,16262446
726,Smashiess,40.790268078798725,4b80fc8df964a520489430e3,-73.94730036307469,Sandwich Place,male,211492308
727,Harlem Shake,40.793836597366536,57c4f232498ecd018a7671e4,-73.93999542541836,Burger Joint,female,7835045
728,Harlem Shake,40.793836597366536,57c4f232498ecd018a7671e4,-73.93999542541836,Burger Joint,male,25818759
729,Harlem Shake,40.793836597366536,57c4f232498ecd018a7671e4,-73.93999542541836,Burger Joint,male,1638618
730,Pee Dee Steak House,40.79425972112027,4ae74368f964a520dda921e3,-73.94275415185164,Steakhouse,female,1352057
